id,default_flag,days_past_due,balance,credit_limit,external_score
163,1,17,302.572439,800,532
164,0,0,1670.677886,2000,691
165,0,0,610.7652348,3000,847
166,0,5,5.420240954,200,23
167,0,1,383.0306893,1200,512
168,1,3,14.65862545,200,141
169,0,8,493.509249,900,272
170,1,2,436.5678034,800,413
171,0,1,896.9821219,1800,703
172,0,0,1154.707585,2300,985
173,0,4,332.9688432,2000,705
174,0,1,492.9821012,500,413
175,1,13,353.7425223,1200,152
176,1,39,81.30025451,800,308
177,0,3,506.5091879,1100,500
178,0,9,465.9557044,600,295
179,0,2,586.6002288,1000,524
180,0,0,1288.04829,1500,571
181,0,1,656.7929762,700,103
182,1,5,69.32170258,1100,119
183,0,0,73.62110349,1200,846
184,0,0,2070.879072,2100,928
185,0,3966,74.0250726,200,127
186,0,1,26.00671439,300,382
187,0,1,221.9517577,500,797
188,0,94,53.80664867,900,342
189,0,23,814.5382333,900,429
190,1,182,72.5977867,200,192
191,0,0,285.4560343,600,690
192,1,33,101.232168,500,316
193,1,81,172.6858683,200,125
194,0,0,319.8631035,1700,885
195,1,10,298.6646948,700,127
196,0,0,246.132564,600,479
197,1,72,369.9300971,400,276
198,0,144,63.66368098,500,452
199,1,2,504.7044412,700,22
200,0,0,287.8787069,1500,821
201,1,2,304.8707242,700,312
202,1,3,192.6655592,300,87
203,0,8,401.8201374,500,331
204,0,2,165.4179327,1000,426
205,1,1,1416.375726,1500,517
206,0,0,170.8364257,300,390
207,0,0,1380.527143,1600,750
208,1,0,20.16616014,700,97
209,1,3,164.2262771,1100,367
210,0,45,34.86521983,200,96
211,0,47,411.5510859,700,421
212,0,0,315.9139602,800,440
213,1,8,354.4487486,600,254
214,0,13,645.1351196,1100,446
215,1,0,220.506767,500,134
216,0,41,453.7048744,1000,227
217,0,93,695.3158399,1000,394
218,0,2,813.2179009,1400,561
219,0,2,839.5562168,1400,576
220,0,4,2391.431646,2700,985
221,1,44,1494.63101,1700,522
222,1,5,45.02234312,700,235
223,1,0,877.0440263,1200,131
224,0,0,989.4183237,1200,822
225,0,0,447.5694832,1700,874
226,1,0,619.8004377,900,24
227,0,4,594.5379933,900,435
228,0,136,651.1885178,900,398
229,1,240,430.0311971,800,200
230,0,0,766.3930859,2200,796
231,1,0,507.6611611,700,37
232,0,1,630.9653757,800,688
233,1,0,158.2707862,400,0
234,1,162,213.964454,700,696
235,0,39,205.1881418,300,288
236,0,6,190.8289387,200,279
237,1,4,172.6803028,200,176
238,1,0,752.7915057,1100,210
239,0,7,143.9317012,700,396
240,1,6,478.9305401,600,77
241,1,46,276.7723602,600,257
242,0,0,296.2332142,900,717
243,1,0,667.1150016,1600,779
244,1,6,310.175083,600,440
245,0,9,584.5211885,800,532
246,1,9,343.4741275,600,376
247,1,2,382.3243109,700,121
248,0,95,1328.465048,1700,580
249,0,29,325.0060743,1200,296
250,0,11,283.5654994,1100,998
251,1,2,536.4589862,800,359
252,1,14,386.394785,800,344
253,0,1,1424.014169,1800,853
254,0,0,693.3983123,1300,730
255,0,1,134.3559398,400,669
256,0,0,1091.143008,1100,938
257,0,2,1257.573867,2700,826
258,1,5,225.5129699,1000,414
259,1,5,440.9503866,500,70
260,0,0,603.1342113,800,385
261,1,44,100.6653453,200,99
262,0,0,469.4204211,2000,818
263,0,5,473.8371551,900,970
264,0,0,357.557799,2600,909
265,1,32,610.9739162,1300,862
266,0,0,266.2173637,300,159
267,0,11,70.75856886,400,368
268,0,0,813.7915715,900,572
269,0,1,1740.097256,1900,911
270,0,9,245.1574023,600,148
271,1,11,331.3399237,900,336
272,0,1,877.6194039,1900,931
273,0,0,188.0947641,1200,690
274,0,4,75.99682881,1100,526
275,1,3,236.145668,600,54
276,1,226,47.35692942,200,87
277,0,4,515.3313797,600,456
278,1,0,86.59250243,400,301
279,1,14,85.04049127,200,180
280,0,2,38.02981639,1900,605
281,1,24,94.91346718,700,267
282,0,10,789.711721,1000,546
283,0,5,587.1148722,900,725
284,0,0,298.2603225,1800,815
285,0,2,219.2376421,1200,876
286,0,14,700.2998415,1200,568
287,1,95,80.19848407,1000,473
288,0,11,1047.499733,1500,762
289,0,0,64.00714972,2000,738
290,1,1,337.3858,1000,196
291,0,6,1545.41657,3000,802
292,0,6,1150.526223,1200,729
293,0,23,143.3091863,200,161
294,0,0,81.71390068,1900,897
295,1,11,1876.688278,1900,699
296,1,0,1619.909289,1800,945
297,0,178,459.0191955,1000,408
298,1,13,733.8771388,1200,635
299,1,73,325.8451281,1100,450
300,0,1,1714.799229,2200,938
301,0,0,312.036933,500,316
302,0,0,617.8702662,1400,657
303,0,17,1111.947519,1800,658
304,0,0,2637.748806,2900,846
305,0,0,971.6158798,1700,857
306,0,0,1089.001371,1800,817
307,1,2,22.44802311,1500,784
308,0,18,498.9460065,1300,770
309,1,5,137.5625661,1100,421
310,0,53,170.3751282,200,166
311,1,233,196.5714577,1300,158
312,0,30,530.8488711,1400,559
313,0,0,2331.8449,2600,977
314,1,18,272.9742417,2500,934
315,1,11,1096.141677,1600,579
316,0,2,968.0071309,1400,791
317,0,0,1522.230655,1600,850
318,1,0,154.5294853,400,44
319,0,0,89.53809075,1000,403
320,0,423,316.7287041,500,247
321,0,7,991.1794563,1400,879
322,1,9,117.6279801,200,55
323,1,24,297.0371497,1000,638
324,0,14,297.7866165,1200,947
325,0,7,306.8764009,1200,852
326,0,13,781.7712327,1300,511
327,0,0,664.981327,1500,824
328,0,0,311.7839383,900,351
329,1,0,32.2745144,200,30
330,1,17,136.7217663,800,319
331,0,1,333.2716746,1700,955
332,0,9,61.33160994,1300,409
333,0,0,940.3669645,1400,732
334,0,32,58.71910631,700,464
335,0,0,286.1790966,300,388
336,0,0,9.798391331,900,200
337,0,10,515.8074755,900,263
338,0,0,69.88894216,1400,748
339,0,1,1141.421774,1400,689
340,0,0,970.3732319,1600,914
341,0,0,645.3535317,800,246
342,1,17,498.3440432,1000,499
343,0,10,1426.016155,1800,898
344,0,0,1355.830089,1900,903
345,1,0,107.4303951,600,313
346,0,2,847.2459855,900,100
347,1,13,133.7064423,200,148
348,0,6,359.7024051,1200,758
349,0,0,1989.751362,2700,969
350,0,3,463.4833572,900,458
351,0,0,327.8770001,2200,893
352,0,1,22.82016597,1000,266
353,0,0,650.9426082,1500,739
354,0,182,143.3600475,700,683
355,1,94,132.9023435,200,60
356,0,1,1758.52583,1800,936
357,0,1,320.3202212,1500,649
358,1,8,1156.618422,1300,132
359,0,50,3.159378543,1100,25
360,0,1,165.8104811,1800,939
361,0,0,77.94431754,2600,800
362,0,0,884.0095713,900,727
363,1,0,925.5142223,1400,574
364,0,30,531.6252018,600,241
365,0,6,232.0059715,600,291
366,0,2,884.6002507,2500,684
367,0,14,26.36562255,900,300
368,1,6,365.5426519,800,198
369,1,38,868.758592,2400,751
370,0,0,1047.505273,1200,566
371,1,10,351.2395889,1000,500
372,1,1,776.8729894,1600,899
373,0,205,187.3567919,800,435
374,0,1,871.8769204,1500,750
375,1,77,114.7132026,200,116
376,0,13,132.9635288,200,185
377,0,3,887.8851904,1600,962
378,0,16,203.5191656,1000,431
379,0,41,183.6745543,200,138
380,0,0,2186.286994,2200,853
381,0,0,993.0393912,1900,906
382,0,1,343.5711058,400,293
383,0,0,1091.256615,1800,936
384,1,1,396.8777201,600,277
385,1,0,203.3869608,500,14
386,1,0,253.5865174,700,155
387,1,1,107.7490658,900,452
388,1,30,192.9743655,700,643
389,1,13,1796.27245,1900,620
390,1,86,256.6057746,300,77
391,0,2,638.662232,1000,781
392,0,1,1331.218155,1700,866
393,0,206,809.782192,900,640
394,0,1,86.55243745,500,340
395,0,13,141.4120472,200,0
396,0,1,1035.922662,1200,203
397,0,0,688.8304794,1200,821
398,1,0,415.0778221,700,345
399,0,0,85.59175222,900,396
400,0,1,326.3081579,400,397
401,1,4,605.7527289,700,288
402,0,1,169.8938086,600,356
403,0,0,683.2094745,1900,901
404,1,48,396.1500385,400,50
405,0,182,358.7437269,1700,959
406,0,2,245.7173466,400,627
407,0,0,641.8038631,800,301
408,0,10,517.1167882,1000,391
409,0,4,1817.612769,2100,972
410,0,0,893.3593676,1100,814
411,1,0,192.7137336,1100,516
412,0,0,202.0580823,2300,930
413,0,3,261.4585149,1000,763
414,0,0,223.0202423,800,291
415,0,2,805.9802015,900,584
416,1,32,1079.809726,1400,848
417,1,2,213.8048932,900,19
418,1,2,930.0438927,1100,511
419,0,0,293.3971211,1700,738
420,0,0,167.572327,900,527
421,0,0,161.978038,300,88
422,0,10,20.99547327,800,283
423,0,0,1238.194693,1500,861
424,0,1,769.9456793,800,836
425,0,0,1213.388101,1500,892
426,0,0,332.2753635,2200,978
427,0,7,376.0153642,1100,24
428,0,13,570.9882761,1100,846
429,0,0,228.9215425,1500,799
430,1,116,515.9302093,600,603
431,0,6,448.1397283,1600,540
432,1,36,60.19255648,200,110
433,0,100,86.89949051,900,315
434,1,4,725.4889462,900,405
435,1,3,202.0873086,1500,640
436,0,10,1154.926698,2100,940
437,0,0,249.3857439,1700,598
438,1,17,298.1608323,900,115
439,0,0,5.202635815,700,455
440,1,0,810.1036973,1200,413
441,1,22,69.15529233,700,338
442,0,12,65.48913451,1500,612
443,0,10,1003.944271,2000,646
444,0,2,9.999991037,400,193
445,0,0,982.5499098,2400,738
446,0,0,848.8055226,2600,753
447,0,146,119.9110546,500,51
448,0,12,696.0821159,900,590
449,0,10,155.950847,1200,861
450,1,1,466.9815411,1100,424
451,1,1,668.2652303,1000,436
452,0,10,852.9888424,1100,261
453,0,0,1137.991538,1300,773
454,0,2,739.2007873,800,686
455,0,22,323.5303808,800,488
456,1,44,838.1896162,1400,514
457,0,1,1044.831351,1200,867
458,1,24,138.1980641,300,40
459,1,184,679.9114189,1000,433
460,0,2,354.0215965,400,443
461,1,4,44.37148549,200,197
462,0,3,19.32524384,400,652
463,1,221,363.1046887,400,63
464,1,0,940.0995205,1300,372
465,0,1,230.3028694,500,650
466,0,1,588.7040971,700,39
467,1,77,515.0179942,800,209
468,0,0,789.8696456,1200,220
469,0,1,183.6207962,1500,879
470,0,1,1708.415139,2300,844
471,1,0,733.3902002,900,486
472,1,3,1102.451459,1300,230
473,0,0,386.8522604,3200,999
474,0,2,1468.196478,2100,855
475,0,0,869.2739669,1700,728
476,1,17,293.8704684,600,442
477,0,0,1142.382898,1300,994
478,0,1,442.3003069,500,203
479,1,1,154.2844349,700,223
480,1,0,11.09482712,200,101
481,1,8,708.7784339,900,379
482,0,0,1498.382609,2400,779
483,0,0,1248.95241,2000,985
484,0,0,433.8795578,1400,921
485,1,0,368.0976388,400,238
486,0,0,170.9976572,600,303
487,0,0,2179.162998,2300,922
488,0,0,95.39340023,200,179
489,0,2,482.7887441,1800,779
490,1,3,496.0766562,500,43
491,0,0,920.3960482,1000,319
492,0,0,2134.599656,2200,923
493,1,41,664.9511185,1700,149
494,0,0,474.7204192,1000,540
495,0,1,1520.982631,1700,724
496,0,0,950.5551066,1900,904
497,0,0,618.630628,700,385
498,0,4,1248.942351,2200,975
499,0,0,737.99703,1100,735
500,0,9,995.1501381,1000,255
501,1,2,1091.101366,1100,742
502,0,37,874.662453,1000,312
503,0,0,533.3670499,1400,500
504,1,1,414.5948239,1000,239
505,1,2,285.9217592,600,353
506,0,92,820.0038378,1200,309
507,0,5,328.6496519,1100,319
508,1,0,195.0042272,700,206
509,0,27,280.2107418,600,423
510,1,0,899.0170659,1100,176
511,0,7,62.28219367,1000,671
512,1,2,390.5754004,1800,97
513,0,1,64.1762771,500,480
514,1,0,335.9723675,400,407
515,0,1,69.35912474,200,763
516,1,20,541.4909889,1300,545
517,0,1,609.8697155,800,452
518,0,1,436.3541934,800,514
519,1,72,688.4766579,1400,680
520,0,13,613.6445303,900,786
521,0,2,149.1578192,500,341
522,1,5,756.7777798,1400,85
523,1,75,379.790068,800,136
524,0,0,1379.17027,2400,738
525,0,0,759.8774706,1900,828
526,1,2,450.1310772,800,366
527,0,56,227.493519,800,327
528,1,15,645.9734378,2000,691
529,0,6,13.7364583,500,31
530,1,0,487.6681935,700,321
531,0,0,839.8965761,900,285
532,0,16,139.3312166,200,191
533,1,0,374.8044914,800,219
534,0,1,563.9134823,1500,986
535,0,0,104.8863778,700,887
536,1,3,105.6508682,900,123
537,0,1,891.1099762,1000,649
538,1,0,162.6327219,400,109
539,0,3,801.2123789,900,850
540,0,21,4.232816079,800,297
541,1,20,246.6729247,300,362
542,1,1,356.1549587,900,297
543,1,3,934.6161862,1700,206
544,1,19,349.3437247,1600,568
545,0,1,1006.672443,1200,705
546,0,0,36.68848243,200,637
547,0,0,2068.979132,2100,927
548,1,3,906.0512854,1000,56
549,0,1,516.8070374,1500,790
550,1,37,389.8046055,1000,503
551,0,2,1430.859316,2200,832
552,0,0,1123.582796,2100,904
553,1,48,907.2684502,1300,607
554,0,0,884.2134661,2600,924
555,0,0,1329.493261,1400,886
556,0,4,169.5181651,800,312
557,1,2,80.41413572,200,177
558,0,0,583.0871923,2000,779
559,0,0,503.2483396,600,121
560,0,5,172.9249464,200,97
561,0,10,645.2201552,1400,940
562,0,0,205.9426982,300,331
563,0,0,609.0357479,1700,837
564,0,10,1416.407962,2200,985
565,1,0,563.2025384,800,261
566,1,21,851.1966743,1200,614
567,0,19,440.6926952,500,413
568,0,0,748.124957,800,537
569,0,1,596.1384829,600,230
570,1,0,1402.972694,2300,127
571,1,0,771.4197287,2300,735
572,0,9,990.2404239,1000,623
573,1,1095,314.54016,500,175
574,1,0,871.7388805,1800,597
575,0,6,1040.794281,1400,579
576,1,0,818.3859082,1000,155
577,0,9,812.0520155,900,145
578,0,0,26.4769919,700,785
579,1,32,491.483839,600,74
580,0,25,273.2016782,600,372
581,1,9,127.9877323,700,244
582,0,0,609.8027519,1400,819
583,1,67,504.7850297,1500,669
584,0,2,864.4647854,1300,707
585,1,265,194.8980894,500,187
586,1,25,143.2334096,200,157
587,0,6,1191.811877,1400,875
588,0,0,157.0464985,1900,695
589,1,9,815.5603061,1000,380
590,0,23,614.8461987,1000,174
591,0,0,1280.183625,1400,880
592,0,6,1077.16324,1800,827
593,0,0,1766.648306,2200,886
594,0,2,417.7061082,2500,990
595,0,22,1.313002146,1100,505
596,0,0,93.66727807,200,265
597,1,42,143.8175926,600,263
598,0,2,628.9756663,2600,922
599,1,2,237.7557374,700,125
600,1,6,74.41806046,1000,323
601,0,2,86.89016985,500,400
602,1,12,105.2421985,300,77
603,1,2,346.4289956,1000,53
604,1,0,522.5419252,900,109
605,1,0,868.7353358,1100,162
606,0,0,767.587616,1000,409
607,0,0,396.4555124,1700,894
608,0,0,474.9066735,1200,931
609,0,2,184.0964509,1800,883
610,0,0,1732.804161,2400,821
611,0,17,475.4142546,600,568
612,1,43,190.6298518,1000,386
613,0,5,405.0991589,1100,839
614,0,3,407.9246527,1700,848
615,0,6,1886.624612,2000,802
616,0,0,947.7615232,1600,973
617,0,0,446.5569659,1200,944
618,0,5,95.47737844,1000,643
619,1,7,117.7652513,200,101
620,1,1,342.9645529,1200,172
621,1,2,468.5137853,1800,979
622,1,14,282.9972715,1500,507
623,0,0,436.1311703,2400,782
624,1,3,352.5110743,1100,23
625,0,14,829.4619546,1200,651
626,1,31,553.6943007,700,535
627,0,17,1222.05582,1400,569
628,1,1,629.1454134,700,29
629,1,63,76.48581695,200,185
630,0,0,370.0158437,1000,626
631,0,1,1539.629343,1800,993
632,1,25,123.2773162,300,404
633,1,2,836.9278727,1000,59
634,1,5,150.3237765,1000,429
635,0,5,503.3061076,1000,590
636,1,2,658.6864487,700,151
637,0,3,440.1291454,1300,796
638,1,0,69.75053387,300,33
639,0,2,543.8186664,1500,826
640,0,0,525.7437537,1200,554
641,0,0,1208.217444,1600,755
642,1,3,415.2332562,600,380
643,1,7,589.0972222,800,626
644,0,15,2170.966176,2500,893
645,0,1,226.8663838,1100,505
646,0,0,444.9833138,800,734
647,1,0,292.0829694,300,22
648,1,8,119.3350595,1300,159
649,0,1,744.3411171,2100,901
650,1,18,339.9651465,1900,630
651,0,0,1994.319726,2400,893
652,1,1,1002.453153,1200,0
653,0,0,285.2948354,1100,998
654,1,2,327.806975,800,496
655,0,10,811.6778803,900,364
656,0,0,860.3727612,1100,780
657,1,0,774.1322017,1700,528
658,0,2,649.9541876,2800,809
659,0,0,155.6556314,2200,830
660,0,0,751.7885142,1600,879
661,0,0,151.6810997,700,593
662,0,0,695.7935083,700,649
663,0,1,1327.981024,1400,785
664,0,128,379.2983655,500,73
665,0,4,482.1863655,700,425
666,0,0,74.57918672,600,598
667,1,8,34.9968664,600,344
668,1,10,262.0337085,1900,745
669,0,0,965.9087513,1500,925
670,0,17,1071.098002,1400,704
671,0,0,1092.161296,1100,705
672,1,151,1421.585225,1700,656
673,0,1,2751.505321,2800,999
674,1,2,330.7541143,600,409
675,1,2,819.8076582,900,340
676,0,0,908.9840986,1300,793
677,0,0,206.779138,700,82
678,1,37,307.8864204,400,103
679,0,2,148.7520563,900,636
680,0,0,999.0285785,1100,575
681,0,1,475.4755314,1400,839
682,0,1,1568.411767,1700,897
683,1,40,60.66551769,1600,683
684,1,105,8.375310983,200,33
685,0,4,1345.860513,1800,995
686,1,19,124.5132659,300,204
687,0,0,754.4017609,2200,813
688,0,6,1565.549344,1800,798
689,0,1,297.5030513,1100,911
690,0,700,195.8430883,300,111
691,0,0,264.6475879,3200,848
692,0,0,566.5462263,800,427
693,1,0,999.0311633,1000,597
694,0,0,527.5867394,2000,941
695,0,26,137.9908743,1000,660
696,0,3,272.4704392,500,293
697,0,19,30.24114512,500,252
698,0,12,1066.601884,1200,695
699,0,11,105.0342385,600,267
700,0,0,154.8156929,200,644
701,0,9,49.49425396,700,584
702,1,2,632.9586578,700,291
703,1,28,2229.930473,2400,960
704,0,4,108.0863906,700,401
705,0,0,1107.509301,1800,979
706,1,6,791.5953632,900,227
707,0,0,78.48216926,1300,781
708,1,1,485.971178,1300,489
709,0,0,118.0034474,400,114
710,1,0,415.4062966,1500,865
711,0,1,240.8843439,1100,409
712,0,6,360.0824159,400,214
713,1,34,778.8267372,900,338
714,0,1,314.0619964,400,588
715,0,0,658.8390918,1600,761
716,0,12,502.1714752,1000,588
717,1,0,220.288393,1500,593
718,1,0,585.0074177,600,176
719,0,47,595.7127264,600,386
720,0,0,107.3738645,2300,944
721,0,0,686.6373297,1100,541
722,0,25,705.2435651,1200,892
723,0,0,410.0487275,800,767
724,1,61,1656.539346,1900,623
725,0,0,259.3416045,600,715
726,1,5,176.2115925,600,419
727,0,15,239.9403943,1100,545
728,0,205,174.0506261,900,377
729,0,24,230.5072521,800,7
730,0,2,600.5145758,1400,503
731,0,10,740.5720206,1300,353
732,1,18,985.623145,1100,695
733,0,2,261.4144925,900,539
734,0,2,85.40928709,700,353
735,0,26,1267.792063,1300,600
736,1,2,215.0016032,700,308
737,0,5,1261.787348,2200,821
738,1,94,1728.137196,1800,663
739,0,4,253.9994061,1000,663
740,1,104,617.8530848,700,124
741,1,3,52.04558424,300,340
742,0,1,1549.876026,2700,935
743,1,1,183.9962804,600,310
744,0,0,663.1009592,1100,806
745,0,1,49.26933658,1500,901
746,0,0,159.0673888,1300,978
747,1,1,65.59928821,200,144
748,1,12,18.05876787,200,16
749,0,0,444.0213807,2600,926
750,0,29,106.1617904,700,17
751,0,0,231.3575518,700,231
752,0,0,1622.500213,1700,887
753,0,0,728.0157094,2200,878
754,0,0,947.0372087,1900,875
755,0,11,554.5118298,2100,835
756,1,26,43.31646143,1100,61
757,0,8,166.4072585,300,26
758,1,31,124.2390944,1000,36
759,0,0,610.7047914,1100,683
760,1,18,166.0733357,200,177
761,0,6,81.77739354,800,695
762,0,0,934.8646778,1800,722
763,0,0,770.3468458,1200,537
764,0,17,49.43406174,2200,984
765,0,0,592.1336021,2100,751
766,0,0,136.3570516,1300,766
767,1,4,124.1032805,200,158
768,1,8,537.2568172,1200,312
769,1,15,306.3272474,900,368
770,0,20,47.34624751,600,594
771,1,13,196.8071637,1000,488
772,0,3,432.6172193,1100,710
773,1,425,108.128888,800,569
774,1,24,613.0506957,800,417
775,0,0,688.1076263,1600,778
776,1,10,243.0815348,400,170
777,0,0,726.5108072,2000,647
778,0,0,881.7121695,1600,990
779,0,1,647.7412224,1500,627
780,1,3922,580.4080834,700,470
781,0,0,557.8334622,1000,798
782,0,1,1254.367927,1900,720
783,1,71,367.7401151,800,460
784,0,51,300.5752914,600,45
785,0,0,132.7588144,1200,595
786,0,0,1043.30416,1300,789
787,1,35,132.2220142,600,291
788,0,2,350.483764,900,554
789,1,16,345.4426049,700,60
790,0,0,518.7764579,1000,631
791,0,5,65.88494427,1000,658
792,0,5,821.1912103,1000,504
793,1,28,347.7308671,2900,981
794,0,16,550.0825413,700,297
795,0,100,1198.366897,1300,562
796,0,2,539.8806681,600,345
797,0,1,1250.870505,1600,884
798,1,3,291.8524251,800,395
799,1,0,817.0248967,1000,272
800,1,4,831.0443011,1000,437
801,0,5,1281.727268,2000,790
802,0,1,1157.977124,2000,819
803,0,1,5.528372356,1600,827
804,0,8,68.04312046,500,376
805,0,1,1305.964172,1600,764
806,0,0,783.8618317,1100,385
807,1,0,771.7327646,800,592
808,1,1,569.562588,700,23
809,0,0,1078.09021,1400,752
810,0,0,1037.996715,2400,912
811,0,0,917.5484987,1400,549
812,0,0,50.52441042,1300,799
813,1,0,1075.351552,1600,805
814,0,4,1551.471383,2200,969
815,1,17,496.9145452,1300,473
816,1,95,559.3576315,700,379
817,1,48,529.1472023,800,693
818,1,24,279.7323545,800,219
819,0,0,953.3405684,1200,857
820,1,0,212.059314,400,228
821,0,23,481.4509461,1500,744
822,0,0,186.376816,2000,931
823,1,0,94.0050125,900,599
824,0,1,2277.785872,2300,936
825,1,11,172.0069672,200,159
826,1,33,772.3975508,800,302
827,1,5,456.7516179,900,476
828,0,2,437.0921584,700,492
829,0,6,100.5674652,700,364
830,1,0,82.71127158,300,13
831,0,2,556.6004417,600,724
832,0,2,99.33585289,900,368
833,1,2,188.5691167,400,73
834,0,1,253.7994642,400,194
835,1,83,419.1691729,500,595
836,1,60,1229.680309,1300,569
837,1,0,864.7561684,1000,535
838,0,2,483.3915486,1000,633
839,0,300,927.9006384,1200,355
840,1,179,393.1552257,1000,116
841,0,18,308.0897185,500,74
842,1,0,352.5346005,900,424
843,0,0,196.0517924,200,126
844,0,9,111.843439,600,290
845,0,0,130.6118792,200,186
